runname,epoch,filename,loss,ep_runtime,ds_train_len,ds_val_len,train_r_p_mean_file,train_rmse_map_mean_file,r_p_all,rmse_all,r_p_mean_file,rmse_mean_file,rmse_map_mean_file,r_p_mean_con,rmse_mean_con,rmse_map_mean_con,rmse_star_map_mean_con,name,data_dir,output_dir,pretrained_model,csv_file,csv_con,csv_deg,csv_mos_train,csv_mos_val,csv_db_train,csv_db_val,tr_epochs,tr_early_stop,tr_bs,tr_bs_val,tr_lr,tr_lr_patience,tr_num_workers,tr_parallel,tr_ds_to_memory,tr_ds_to_memory_workers,tr_device,tr_checkpoint,tr_verbose,tr_bias_mapping,tr_bias_min_r,tr_bias_anchor_db,ms_sr,ms_fmax,ms_n_fft,ms_hop_length,ms_win_length,ms_n_mels,ms_seg_length,ms_seg_hop_length,ms_max_segments,ms_channel,model,cnn_model,cnn_c_out_1,cnn_c_out_2,cnn_c_out_3,cnn_kernel_size,cnn_dropout,cnn_fc_out_h,cnn_pool_1,cnn_pool_2,cnn_pool_3,td,td_sa_d_model,td_sa_nhead,td_sa_pos_enc,td_sa_num_layers,td_sa_h,td_sa_dropout,td_lstm_h,td_lstm_num_layers,td_lstm_dropout,td_lstm_bidirectional,td_2,td_2_sa_d_model,td_2_sa_nhead,td_2_sa_pos_enc,td_2_sa_num_layers,td_2_sa_h,td_2_sa_dropout,td_2_lstm_h,td_2_lstm_num_layers,td_2_lstm_dropout,td_2_lstm_bidirectional,pool,pool_att_h,pool_att_dropout,yaml,mode,dim,double_ended,csv_ref,now
train_tts_model_240411_163140624015,00001,train_tts_model_240411_163140624015.tar,0.927184410976327,183.91,11020,2700,0.4176169050749743,0.8102642792633449,0.6762865152045091,0.9637867874275963,0.6113480868682533,0.8942483648147677,0.7049808488980984,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00002,train_tts_model_240411_163140624015.tar,0.5647081423496855,183.68,11020,2700,0.6857814480490552,0.6475473220020018,0.7543075326091015,0.8360701576772887,0.7208347507354124,0.7058999232562498,0.6207386999918598,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00003,train_tts_model_240411_163140624015.tar,0.48864212226176607,185.72,11020,2700,0.7253005153544162,0.6096957280949034,0.7066123704748377,1.1992778105347475,0.6995700038966105,1.1544097227511578,0.6475704016314086,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00004,train_tts_model_240411_163140624015.tar,0.43364919881889785,184.98,11020,2700,0.7497972842686393,0.5823168632316273,0.771172573517495,0.9775719877085213,0.7078833746895854,0.967659644718807,0.6224678240548905,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00005,train_tts_model_240411_163140624015.tar,0.4072644620701887,185.10,11020,2700,0.763359168945511,0.5673419494167746,0.8346470960249661,0.6145512604457016,0.7972888613660889,0.5418764945093425,0.5350276338321744,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00006,train_tts_model_240411_163140624015.tar,0.3554166522146999,185.73,11020,2700,0.7939030624255979,0.5329062604198385,0.8336676896436851,0.7156382228696757,0.7899902537126038,0.6288399940862767,0.5412086726849847,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00007,train_tts_model_240411_163140624015.tar,0.3424047226059264,184.59,11020,2700,0.785667932863382,0.535604855337172,0.84728343874898,0.6968947439687667,0.8026961867253359,0.5884654198561872,0.5244458487100074,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00008,train_tts_model_240411_163140624015.tar,0.3320514428010885,185.23,11020,2700,0.7966447165825459,0.5247527349536875,0.8692055609362435,0.5462754548614073,0.8351241583861704,0.487213166284449,0.48566140567188054,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00009,train_tts_model_240411_163140624015.tar,0.31703694873098015,181.99,11020,2700,0.7982094971845102,0.5195838253501724,0.866263149899975,0.5647931410300817,0.838871362303286,0.5172592239325289,0.483456162258881,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
train_tts_model_240411_163140624015,00010,train_tts_model_240411_163140624015.tar,0.2817948746724405,182.28,11020,2700,0.8233908083803457,0.48984484268527095,0.8639249570831968,0.7210067967858192,0.8336321744286853,0.6662329341670226,0.4895619058877382,nan,nan,nan,nan,train_tts_model,NISQA_Corpus,artifacts,False,NISQA_corpus_file.csv,None,filepath_deg,mos,mos,"['NISQA_TRAIN_SIM', 'NISQA_TRAIN_LIVE']","['NISQA_VAL_SIM', 'NISQA_VAL_LIVE']",50,5,32,32,0.001,15,4,False,False,0,None,best_only,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,1300,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap.yaml,main,False,False,None,2024-04-11 16:31:40.624015
